feature,importance
ST_Slope_Up,0.1869111173505829
Oldpeak,0.1045308513661058
ST_Slope_Flat,0.09593287954528401
MaxHR,0.09026746846297058
Cholesterol,0.08543966127287174
ChestPainType_ASY,0.07995508014953612
ExerciseAngina_N,0.0726612632946796
Age,0.06028265053885963
RestingBP,0.0559292315154964
ExerciseAngina_Y,0.047021895441638414
Sex_F,0.020634621065727617
Sex_M,0.02006147044003158
FastingBS,0.017615565305113896
ChestPainType_ATA,0.013143053138577002
ChestPainType_NAP,0.012547580047630565
RestingECG_LVH,0.009779938623124504
RestingECG_Normal,0.008468068519218884
RestingECG_ST,0.007014977344286255
ST_Slope_Down,0.006307816575132606
ChestPainType_TA,0.005494810003132087
